DP01,ABENGOUROU,ABE,133,2022-09-25 04:02:48,,,,,,,,,
DP02,AGNIBILEKROU,ABE,134,2022-09-25 04:02:48,,,,,,,,,
DP03,BETTIE,ABE,135,2022-09-25 04:02:48,,,,,,,,,
DP04,KOUN-FAO,ABE,136,2022-09-25 04:02:48,,,,,,,,,
DP05,TANDA,ABE,137,2022-09-25 04:02:48,,,,,,,,,
DP06,TRANSUA ,ABE,138,2022-09-25 04:02:48,,,,,,,,,
DP07,ABIDJAN,ABJ,139,2022-09-25 04:02:48,,,,,,,,,
DP08,ALEPE,ABJ,140,2022-09-25 04:02:48,,,,,,,,,
DP09,DABOU,ABJ,141,2022-09-25 04:02:48,,,,,,,,,
DP10,GRAND-LAHOU,ABJ,142,2022-09-25 04:02:48,,,,,,,,,
DP11,SIKENSI,ABJ,143,2022-09-25 04:02:48,,,,,,,,,
DP12,ABOISSO,ABO,144,2022-09-25 04:02:48,,,,,,,,,
DP13,ADIAKE,ABO,145,2022-09-25 04:02:48,,,,,,,,,
DP14,GRAND-BASSAM,ABO,146,2022-09-25 04:02:48,,,,,,,,,
DP15,TIAPOUM,ABO,147,2022-09-25 04:02:48,,,,,,,,,
DP16,ADZOPE,AGB,148,2022-09-25 04:02:48,,,,,,,,,
DP17,AGBOVILLE,AGB,149,2022-09-25 04:02:48,,,,,,,,,
DP18,AKOUPE,AGB,150,2022-09-25 04:02:48,,,,,,,,,
DP19,YAKASSE-ATTOBROU,AGB,151,2022-09-25 04:02:48,,,,,,,,,
DP20,ARRAH,BON,152,2022-09-25 04:02:48,,,,,,,,,
DP21,BONGOUANOU,BON,153,2022-09-25 04:02:48,,,,,,,,,
DP22,DAOUKRO,BON,154,2022-09-25 04:02:48,,,,,,,,,
DP23,DIMBOKRO,BON,155,2022-09-25 04:02:48,,,,,,,,,
DP24,MBATTO,BON,156,2022-09-25 04:02:48,,,,,,,,,
DP25,DALOA,DAL,157,2022-09-25 04:02:48,,,,,,,,,
DP26,ISSIA,DAL,158,2022-09-25 04:02:48,,,,,,,,,
DP27,SEGUELA,DAL,159,2022-09-25 04:02:48,,,,,,,,,
DP28,VAVOUA,DAL,160,2022-09-25 04:02:48,,,,,,,,,
DP29,ZOUKOUGBEU,DAL,161,2022-09-25 04:02:48,,,,,,,,,
DP30,DIVO,DIV,162,2022-09-25 04:02:48,,,,,,,,,
DP31,GUITTRY,DIV,163,2022-09-25 04:02:48,,,,,,,,,
DP32,LAKOTA,DIV,164,2022-09-25 04:02:48,,,,,,,,,
DP33,TAABO,DIV,165,2022-09-25 04:02:48,,,,,,,,,
DP34,TIASSALE,DIV,166,2022-09-25 04:02:48,,,,,,,,,
DP35,BANGOLO,DUE,167,2022-09-25 04:02:48,,,,,,,,,
DP36,BLOLEQUIN,DUE,168,2022-09-25 04:02:48,,,,,,,,,
DP37,DUEKOUE,DUE,169,2022-09-25 04:02:48,,,,,,,,,
DP38,GUIGLO,DUE,170,2022-09-25 04:02:48,,,,,,,,,
DP39,TAÏ,DUE,171,2022-09-25 04:02:48,,,,,,,,,
DP40,TOULEPLEU,DUE,172,2022-09-25 04:02:48,,,,,,,,,
DP41,GAGNOA,GAG,173,2022-09-25 04:02:48,,,,,,,,,
DP42,OUME,GAG,174,2022-09-25 04:02:48,,,,,,,,,
DP43,SINFRA,GAG,175,2022-09-25 04:02:48,,,,,,,,,
DP44,BIANKOUMA,MAN,176,2022-09-25 04:02:48,,,,,,,,,
DP45,DANANÉ,MAN,177,2022-09-25 04:02:48,,,,,,,,,
DP46,FACOBLY,MAN,178,2022-09-25 04:02:48,,,,,,,,,
DP47,KOUIBLY,MAN,179,2022-09-25 04:02:48,,,,,,,,,
DP48,MAN,MAN,180,2022-09-25 04:02:48,,,,,,,,,
DP49,OUANINOU,MAN,181,2022-09-25 04:02:48,,,,,,,,,
DP50,SIPILOU,MAN,182,2022-09-25 04:02:48,,,,,,,,,
DP51,TOUBA,MAN,183,2022-09-25 04:02:48,,,,,,,,,
DP52,ZOUAN-HOUNIEN,MAN,184,2022-09-25 04:02:48,,,,,,,,,
DP53,FRESCO,SAN,185,2022-09-25 04:02:48,,,,,,,,,
DP54,SAN-PEDRO,SAN,186,2022-09-25 04:02:48,,,,,,,,,
DP55,SASSANDRA,SAN,187,2022-09-25 04:02:48,,,,,,,,,
DP56,TABOU,SAN,188,2022-09-25 04:02:48,,,,,,,,,
DP57,BUYO,SOU,189,2022-09-25 04:02:48,,,,,,,,,
DP58,GUEYO,SOU,190,2022-09-25 04:02:48,,,,,,,,,
DP59,MEAGUI,SOU,191,2022-09-25 04:02:48,,,,,,,,,
DP60,SOUBRE,SOU,192,2022-09-25 04:02:48,,,,,,,,,
DP61,ATTIEGOUAKRO,YAM,193,2022-09-25 04:02:48,,,,,,,,,
DP62,BOUAFLE,YAM,194,2022-09-25 04:02:48,,,,,,,,,
DP63,DJEKANOU,YAM,195,2022-09-25 04:02:48,,,,,,,,,
DP64,TOUMODI,YAM,196,2022-09-25 04:02:48,,,,,,,,,
DP65,YAMOUSSOUKRO,YAM,197,2022-09-25 04:02:48,,,,,,,,,
DP66,ZOUENOULA,YAM,198,2022-09-25 04:02:48,,,,,,,,,
DP67,BEOUMI,YAM,199,2022-09-25 04:02:48,,,,,,,,,
DP68,TIEBISSOU,YAM,200,2022-09-25 04:02:48,,,,,,,,,
DP69,BIANKOUMAN,MAN,201,,,,,,,,,,
